Countries,Gold,Silver,Bronze
Russian Fed.,13,11,9
Norway,11,5,10
Canada,10,10,5
United States,9,7,12
Netherlands,8,7,9
Germany,8,6,5
Switzerland,6,3,2
Belarus,5,0,1
Austria,4,8,5
France,4,4,7
Poland,4,1,1
China,3,4,2
Korea,3,3,2
Sweden,2,7,6
Czech Republic,2,4,2
Slovenia,2,2,4
Japan,1,4,3
Finland,1,3,1
Great Britain,1,1,2
Ukraine,1,0,1
Slovakia,1,0,0
Italy,0,2,6
Latvia,0,2,2
Australia,0,2,1
Croatia,0,1,0
Kazakhstan,0,0,1
